"Source","Target","Weight"
"banco-popolare","idbi-bank-ltd-dubai-uae-are",1481335.25
"banco-santander","dms-bank-trust-ltd-cayman-islands-cym",679480
"banco-santander","winterbotham-trust-company-limited-nassau-bahamas-bhs",4548883.33
"banco-santander-central-hispano-international","ebna-bank-nv-curacao-cuw",13325
"banco-santander-international","bank-of-china-macau-mac",113000
"banco-santander-international","us-century-bank-key-biscayne-fl-us-usa",1e+05
"banco-santander-mexico","bank-america-international-new-york-usa",8985
"banco-santander-sa","caledonian-bank-limited-georgetown-cayman-islands-cym",550000
"banco-universal-sa","eesti-kreditbank-tallinn-estonia-est",95280
"bandn-bank","rosbank-moscow-russia-rus",7800000
"bangkok-bank-public-company","industrial-and-comml-bank-of-china-shanghai-china-chn",1200000
"bangkok-bank-public-company-limited","cimb-bank-berhad-singapore-sgp",22300000
"bank-ag-vaduz","jsc-norvik-banka-riga-latvia-lva",875000
"bank-alfalah-limited","allied-bank-limited-pakistan-pak",452000
"bank-audi-sal-audi-saradar-group","valley-national-bank-new-york-usa-usa",70232
"bank-basmannyy","united-overseas-bank-ltd-singapore-sgp",23222000
"bank-centercredit","commonwealth-bank-of-australia-sydney-australia-aus",77800
"bank-centercredit","dnb-bankas-vilnius-lithuania-ltu",2000
"bank-cial","first-gulf-bank-abu-dhabi-uae-are",1135846
"bank-cial","rietumu-banka-jsc-riga-latvia-lva",733710.86
"bank-dbs-indonesia-pt","jp-morgan-chase-bank-national-brooklyn-ny-usa",6e+05
"bank-dbs-indonesia-pt","rizal-commercial-banking-corp-manila-philippines-phl",260000
"bank-dbs-indonesia-pt","united-overseas-bank-limited-singapore-sgp",650000
"bank-frick-and-co-aktiengesellschaft","bank-of-america-new-york-ny-usa",18384109.97
"bank-frick-and-co-aktiengesellschaft","citibank-na-ny-us-usa",2269550
"bank-hapoalim","barclays-capital-inc-new-york-ny-usa",1.1e+07
"bank-hapoalim-b-m","bank-julius-baer-and-co-ltd-singapore-sgp",1e+06
"bank-hapoalim-b-m","jscb-international-financial-club-moscow-russia-rus",2757893.5
"bank-hapoalim-b-m","jscb-novikombank-moscow-russia-rus",3721326.54
"bank-internasional-indonesia","bank-chinatrust-indonesia-pt-jakarta-indonesia-idn",348228.4
"bank-j-safra-sarasin","rosbank-moscow-russia-rus",1.5e+08
"bank-julius-baer","as-privatbank-latvia-lva",3012500
"bank-julius-baer","norvik-banka-latvia-lva",4e+07
"bank-julius-baer-and-co-ltd","bank-pictet-and-cie-asia-ltd-singapore-sgp",2600000
"bank-julius-baer-and-co-ltd","chong-hing-bank-ltd-hong-kong-hkg",4.5e+07
"bank-julius-baer-and-co-ltd","citibank-na-hong-kong-hkg",1e+07
"bank-julius-baer-and-co-ltd","credit-suisse-ag-zurich-switzerland-che",349518502.77
"bank-julius-baer-and-co-ltd","dbs-bank-ltd-singapore-sgp",3e+07
"bank-julius-baer-and-coltd","ab-dnb-bankas-vilnius-lithuania-ltu",150000
"bank-julius-baer-and-coltd","caledonian-bank-limited-georgetown-cayman-islands-cym",150000
"bank-julius-baer-and-coltd","dms-bank-trust-ltd-georgetown-cayman-islands-cym",8e+05
"bank-julius-baer-and-coltd-zurich","ab-dnb-nord-bankas-vilnius-lithuania-ltu",1520493.14
"bank-julius-baer-co-ltd","bancaribe-curacao-bank-nv-curacao-cuw",1e+05
"bank-julius-baer-co-ltd","banesco-sa-panama-pan",120000
"bank-julius-baer-co-ltd","venezolano-de-credito-cayman-branch-banco-universal-cayman-islands-cym",40000
"bank-julius-baer-monaco-sam","societe-generale-private-banking-sgpb-suisse-switzerland-che",8024647
"bank-leumi-usa-usa","banco-continental-lima-peru-per",1961821
"bank-mandiri","china-citic-bank-international-ltd-hong-kong-hkg",53038001
"bank-negara-indonesia","dbs-bank-ltd-singapore-singapore-sgp",10212877
"bank-of-america","bank-of-butterfield-georgetown-ky-cym",68675
"bank-of-america","deutsche-bank-mauritius-mus",1.3e+08
"bank-of-america","jsc-sobinbank-moscow-russia-rus",98034.6
"bank-of-america","kbl-european-private-bankers-sa-luxembourg-luxembourg-lux",15435035
"bank-of-america-n-a","standard-chartered-bank-hong-kong-hkg",14495
"bank-of-america-na","alfabank-moscow-russia-rus",11600
"bank-of-america-na","bakhtar-bank-kabul-afghanistan-afg",541600.43
"bank-of-america-na","banc-of-america-leasing-troy-michigan-usa-usa",1556349
"bank-of-america-na","barclays-capital-inc-new-york-ny-usa",1e+06
"bank-of-america-na","credit-suisse-ag-zurich-switzerland-che",1362795.74
"bank-of-america-na","keystone-bank-limited-nigeria-nga",5000
"bank-of-america-na","united-overseas-bank-limited-singapore-sgp",3080
"bank-of-american-fork","hongkong-shanghai-banking-corp-hong-kong-hkg",7370
"bank-of-bahrain-kuwait","korea-exchange-bank-south-korea-kor",6602.27
"bank-of-baku","the-national-bank-of-rasras-al-khaimah-uae-are",32500000
"bank-of-baroda","standard-chartered-bank-dubai-are",557812
"bank-of-baroda","standard-chartered-bank-uae-are",4499984
"bank-of-beirut-and-the-arab-countries-s-a-l","bank-of-china-hong-kong-ltd-hong-kong-hkg",30000
"bank-of-beirut-and-the-arab-countries-s-a-l","bank-of-china-ltd-guangdong-china-chn",150000
"bank-of-bermuda","wirecard-bank-ag-grasbrunn-germany-deu",5954.41
"bank-of-butterfield-international","fidelity-bank-cayman-ltd-grand-cayman-cayman-islands-cym",31900000
"bank-of-china","bank-of-china-hong-kong-ltd-hong-kong-hkg",463076.14
"bank-of-china","banque-pour-le-commerce-exterieur-lao-public-vientiane-laos-lao",1388230
"bank-of-china","barclays-kenya-kenya-ken",5336
